Sector,Indicator,Unit,Entity,Year,Variable,CO
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),World,2020,2_degree_avg,4
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),World,2020,2_degree_med,3.93
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),World,2020,2_degree_90th,4.77
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),World,2020,2_degree_max,5.1
Macro,Emissions intensity of energy,tCO2 / TJ (primary),World,2020,2_degree_min,20.2
Macro,Emissions intensity of energy,tCO2 / TJ (primary),World,2020,2_degree_10th,54.5
Macro,Emissions intensity of energy,tCO2 / TJ (primary),World,2020,2_degree_avg,60.5
Macro,Emissions intensity of energy,tCO2 / TJ (primary),World,2020,2_degree_med,61
Macro,Emissions intensity of energy,tCO2 / TJ (primary),World,2020,2_degree_90th,66.5
Macro,Emissions intensity of energy,tCO2 / TJ (primary),World,2020,2_degree_max,70.8
Macro,Fossil fuel share,% fossil fuels,World,2020,2_degree_min,0.674
Macro,Fossil fuel share,% fossil fuels,World,2020,2_degree_10th,0.785
Macro,Fossil fuel share,% fossil fuels,World,2020,2_degree_avg,0.832
Macro,Fossil fuel share,% fossil fuels,World,2020,2_degree_med,0.832
Macro,Fossil fuel share,% fossil fuels,World,2020,2_degree_90th,0.882
Macro,Fossil fuel share,% fossil fuels,World,2020,2_degree_max,0.967
Macro,Coal share,% coal,World,2020,2_degree_min,0.138
Macro,Coal share,% coal,World,2020,2_degree_10th,0.183
Macro,Coal share,% coal,World,2020,2_degree_avg,0.245
Macro,Coal share,% coal,World,2020,2_degree_med,0.251
Macro,Coal share,% coal,World,2020,2_degree_90th,0.291
Macro,Coal share,% coal,World,2020,2_degree_max,0.31
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,World,2020,2_degree_min,1.35
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,World,2020,2_degree_10th,1.28
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,World,2030,2_degree_min,1.34
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,World,2030,2_degree_10th,1.28
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,World,2030,2_degree_avg,0.86
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,World,2030,2_degree_med,0.89
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,World,2030,2_degree_90th,0.56
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,World,2030,2_degree_max,0.37
Electricity,Electricity activity,kWh / cap,World,2030,2_degree_min,3110
Electricity,Electricity activity,kWh / cap,World,2030,2_degree_10th,3460
Electricity,Electricity activity,kWh / cap,World,2030,2_degree_avg,3970
Electricity,Electricity activity,kWh / cap,World,2030,2_degree_med,3990
Electricity,Electricity activity,kWh / cap,World,2030,2_degree_90th,4440
Electricity,Electricity activity,kWh / cap,World,2030,2_degree_max,4880
Electricity,Electricity renewable intensity,% renewables,World,2030,2_degree_min,0.156
Electricity,Electricity renewable intensity,% renewables,World,2030,2_degree_10th,0.206
Electricity,Electricity renewable intensity,% renewables,World,2030,2_degree_avg,0.334
Electricity,Electricity renewable intensity,% renewables,World,2030,2_degree_med,0.336
Electricity,Electricity renewable intensity,% renewables,World,2030,2_degree_90th,0.441
Electricity,Electricity renewable intensity,% renewables,World,2030,2_degree_max,0.839
Industry: Cement,Cement emissions intensity,kg CO2 / t product,World,2030,2_degree_min,377
Industry: Cement,Cement emissions intensity,kg CO2 / t product,World,2030,2_degree_max,586
Industry: Steel,Steel emissions intensity,kg CO2 / t product,World,2030,2_degree_min,920
Industry: Steel,Steel emissions intensity,kg CO2 / t product,World,2030,2_degree_max,1360
Macro,Emissions per capita,tCO2e / cap,World,2030,2_degree_min,2.22
Macro,Emissions per capita,tCO2e / cap,World,2030,2_degree_10th,3.51
Macro,Emissions per capita,tCO2e / cap,World,2030,2_degree_avg,4.8
Macro,Emissions per capita,tCO2e / cap,World,2030,2_degree_med,5.03
Macro,Emissions per capita,tCO2e / cap,World,2030,2_degree_90th,6.22
Macro,Emissions per capita,tCO2e / cap,World,2030,2_degree_max,7.22
Macro,Primary energy demand per capita,GJ (primary) / cap,World,2030,2_degree_min,39.6
Macro,Primary energy demand per capita,GJ (primary) / cap,World,2030,2_degree_10th,52.7
Macro,Primary energy demand per capita,GJ (primary) / cap,World,2030,2_degree_avg,67
Macro,Primary energy demand per capita,GJ (primary) / cap,World,2030,2_degree_med,68.1
Macro,Primary energy demand per capita,GJ (primary) / cap,World,2030,2_degree_90th,80.2
Macro,Primary energy demand per capita,GJ (primary) / cap,World,2030,2_degree_max,85.4
Macro,Final energy demand per capita,GJ (final) / cap,World,2030,2_degree_min,30.7
Macro,Final energy demand per capita,GJ (final) / cap,World,2030,2_degree_10th,42.4
Macro,Final energy demand per capita,GJ (final) / cap,World,2030,2_degree_avg,51.5
Macro,Final energy demand per capita,GJ (final) / cap,World,2030,2_degree_med,51.1
Macro,Final energy demand per capita,GJ (final) / cap,World,2030,2_degree_90th,61.1
Macro,Final energy demand per capita,GJ (final) / cap,World,2030,2_degree_max,70.5
Macro,GDP per capita,thousand USD2012 (PPP) / cap,World,2030,2_degree_min,10.1
Macro,GDP per capita,thousand USD2012 (PPP) / cap,World,2030,2_degree_10th,10.7
Macro,GDP per capita,thousand USD2012 (PPP) / cap,World,2030,2_degree_avg,12.9
Macro,GDP per capita,thousand USD2012 (PPP) / cap,World,2030,2_degree_med,13.5
Macro,GDP per capita,thousand USD2012 (PPP) / cap,World,2030,2_degree_90th,14
Macro,GDP per capita,thousand USD2012 (PPP) / cap,World,2030,2_degree_max,15.7
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),World,2030,2_degree_min,0.189
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),World,2030,2_degree_10th,0.272
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),World,2030,2_degree_avg,0.373
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),World,2030,2_degree_med,0.371
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),World,2030,2_degree_90th,0.487
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),World,2030,2_degree_max,0.601
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),World,2030,2_degree_min,2.56
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),World,2030,2_degree_10th,3.22
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),World,2030,2_degree_avg,4.11
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),World,2030,2_degree_med,3.92
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),World,2030,2_degree_90th,5.49
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),World,2030,2_degree_max,5.94
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),World,2030,2_degree_min,1.92
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),World,2030,2_degree_10th,2.46
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),World,2030,2_degree_avg,3.13
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),World,2030,2_degree_med,2.99
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),World,2030,2_degree_90th,4.15
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),World,2030,2_degree_max,4.41
Macro,Emissions intensity of energy,tCO2 / TJ (primary),World,2030,2_degree_min,19.8
Macro,Emissions intensity of energy,tCO2 / TJ (primary),World,2030,2_degree_10th,38.9
Macro,Emissions intensity of energy,tCO2 / TJ (primary),World,2030,2_degree_avg,50.3
Macro,Emissions intensity of energy,tCO2 / TJ (primary),World,2030,2_degree_med,50.9
Macro,Emissions intensity of energy,tCO2 / TJ (primary),World,2030,2_degree_90th,61
Macro,Emissions intensity of energy,tCO2 / TJ (primary),World,2030,2_degree_max,69.9
Macro,Fossil fuel share,% fossil fuels,World,2030,2_degree_min,0.228
Macro,Fossil fuel share,% fossil fuels,World,2030,2_degree_10th,0.684
Macro,Fossil fuel share,% fossil fuels,World,2030,2_degree_avg,0.765
Macro,Fossil fuel share,% fossil fuels,World,2030,2_degree_med,0.775
Macro,Fossil fuel share,% fossil fuels,World,2030,2_degree_90th,0.887
Macro,Fossil fuel share,% fossil fuels,World,2030,2_degree_max,0.97
Macro,Coal share,% coal,World,2030,2_degree_min,0.0397
Macro,Coal share,% coal,World,2030,2_degree_10th,0.0872
Macro,Coal share,% coal,World,2030,2_degree_avg,0.189
Macro,Coal share,% coal,World,2030,2_degree_med,0.191
Macro,Coal share,% coal,World,2030,2_degree_90th,0.272
Macro,Coal share,% coal,World,2030,2_degree_max,0.34
Transport: Road,Road transport emissions intensity,kg CO2 / vkm,World,2030,2_degree_min,0.188
Transport: Road,Road transport emissions intensity,kg CO2 / vkm,World,2030,2_degree_10th,0.17
Transport: Road,Road transport emissions intensity,kg CO2 / vkm,World,2030,2_degree_avg,0.155
Transport: Road,Road transport emissions intensity,kg CO2 / vkm,World,2030,2_degree_med,0.155
Transport: Road,Road transport emissions intensity,kg CO2 / vkm,World,2030,2_degree_90th,0.139
Transport: Road,Road transport emissions intensity,kg CO2 / vkm,World,2030,2_degree_max,0.0942
Transport: Road,Road transport biofuel/electrification,% biofuels/elec.,World,2030,2_degree_min,0.01
Transport: Road,Road transport biofuel/electrification,% biofuels/elec.,World,2030,2_degree_10th,0.05
Transport: Road,Road transport biofuel/electrification,% biofuels/elec.,World,2030,2_degree_avg,0.08
Transport: Road,Road transport biofuel/electrification,% biofuels/elec.,World,2030,2_degree_med,0.08
Transport: Road,Road transport biofuel/electrification,% biofuels/elec.,World,2030,2_degree_90th,0.13
Transport: Road,Road transport biofuel/electrification,% biofuels/elec.,World,2030,2_degree_max,0.55
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,World,2050,2_degree_min,0.8
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,World,2050,2_degree_10th,0.6
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,World,2050,2_degree_avg,0.27
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,World,2050,2_degree_med,0.2
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,World,2050,2_degree_90th,0.1
Buildings,Buildings emissions intensity (per capita),t CO2 / cap,World,2050,2_degree_max,0
Electricity,Electricity activity,kWh / cap,World,2050,2_degree_min,2830
Electricity,Electricity activity,kWh / cap,World,2050,2_degree_10th,3660
Electricity,Electricity activity,kWh / cap,World,2050,2_degree_avg,5580
Electricity,Electricity activity,kWh / cap,World,2050,2_degree_med,5330
Electricity,Electricity activity,kWh / cap,World,2050,2_degree_90th,7180
Electricity,Electricity activity,kWh / cap,World,2050,2_degree_max,10160
Electricity,Electricity renewable intensity,% renewables,World,2050,2_degree_min,0.155
Electricity,Electricity renewable intensity,% renewables,World,2050,2_degree_10th,0.314
Electricity,Electricity renewable intensity,% renewables,World,2050,2_degree_avg,0.525
Electricity,Electricity renewable intensity,% renewables,World,2050,2_degree_med,0.537
Electricity,Electricity renewable intensity,% renewables,World,2050,2_degree_90th,0.635
Electricity,Electricity renewable intensity,% renewables,World,2050,2_degree_max,0.971
Industry: Cement,Cement emissions intensity,kg CO2 / t product,World,2050,2_degree_min,241
Industry: Cement,Cement emissions intensity,kg CO2 / t product,World,2050,2_degree_max,386
Industry: Steel,Steel emissions intensity,kg CO2 / t product,World,2050,2_degree_min,469
Industry: Steel,Steel emissions intensity,kg CO2 / t product,World,2050,2_degree_max,843
Macro,Emissions per capita,tCO2e / cap,World,2050,2_degree_min,1.38
Macro,Emissions per capita,tCO2e / cap,World,2050,2_degree_10th,1.82
Macro,Emissions per capita,tCO2e / cap,World,2050,2_degree_avg,2.43
Macro,Emissions per capita,tCO2e / cap,World,2050,2_degree_med,2.45
Macro,Emissions per capita,tCO2e / cap,World,2050,2_degree_90th,3.05
Macro,Emissions per capita,tCO2e / cap,World,2050,2_degree_max,3.66
Macro,Primary energy demand per capita,GJ (primary) / cap,World,2050,2_degree_min,35.5
Macro,Primary energy demand per capita,GJ (primary) / cap,World,2050,2_degree_10th,44.8
Macro,Primary energy demand per capita,GJ (primary) / cap,World,2050,2_degree_avg,66.3
Macro,Primary energy demand per capita,GJ (primary) / cap,World,2050,2_degree_med,71
Macro,Primary energy demand per capita,GJ (primary) / cap,World,2050,2_degree_90th,83
Macro,Primary energy demand per capita,GJ (primary) / cap,World,2050,2_degree_max,99.3
Macro,Final energy demand per capita,GJ (final) / cap,World,2050,2_degree_min,29.5
Macro,Final energy demand per capita,GJ (final) / cap,World,2050,2_degree_10th,36.7
Macro,Final energy demand per capita,GJ (final) / cap,World,2050,2_degree_avg,48.6
Macro,Final energy demand per capita,GJ (final) / cap,World,2050,2_degree_med,49.9
Macro,Final energy demand per capita,GJ (final) / cap,World,2050,2_degree_90th,60
Macro,Final energy demand per capita,GJ (final) / cap,World,2050,2_degree_max,66.7
Macro,GDP per capita,thousand USD2012 (PPP) / cap,World,2050,2_degree_min,14.6
Macro,GDP per capita,thousand USD2012 (PPP) / cap,World,2050,2_degree_10th,15.9
Macro,GDP per capita,thousand USD2012 (PPP) / cap,World,2050,2_degree_avg,19.3
Macro,GDP per capita,thousand USD2012 (PPP) / cap,World,2050,2_degree_med,19.6
Macro,GDP per capita,thousand USD2012 (PPP) / cap,World,2050,2_degree_90th,22.7
Macro,GDP per capita,thousand USD2012 (PPP) / cap,World,2050,2_degree_max,25.9
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),World,2050,2_degree_min,0.0721
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),World,2050,2_degree_10th,0.0928
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),World,2050,2_degree_avg,0.127
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),World,2050,2_degree_med,0.12
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),World,2050,2_degree_90th,0.164
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),World,2050,2_degree_max,0.23
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),World,2050,2_degree_min,1.38
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),World,2050,2_degree_10th,1.8
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),World,2050,2_degree_avg,2.74
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),World,2050,2_degree_med,2.67
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),World,2050,2_degree_90th,3.96
Macro,Primary energy intensity of GDP,TJ (primary) / mln. USD2012 (PPP),World,2050,2_degree_max,4.4
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),World,2050,2_degree_min,1.13
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),World,2050,2_degree_10th,1.5
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),World,2050,2_degree_avg,1.99
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),World,2050,2_degree_med,1.86
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),World,2050,2_degree_90th,2.92
Macro,Final energy intensity of GDP,TJ (final) / mln. USD2012 (PPP),World,2050,2_degree_max,3.23
Macro,Emissions intensity of energy,tCO2 / TJ (primary),World,2050,2_degree_min,3.51
Macro,Emissions intensity of energy,tCO2 / TJ (primary),World,2050,2_degree_10th,10.1
Macro,Emissions intensity of energy,tCO2 / TJ (primary),World,2050,2_degree_avg,18.1
Macro,Emissions intensity of energy,tCO2 / TJ (primary),World,2050,2_degree_med,18.1
Macro,Emissions intensity of energy,tCO2 / TJ (primary),World,2050,2_degree_90th,25.6
Macro,Emissions intensity of energy,tCO2 / TJ (primary),World,2050,2_degree_max,33.7
Macro,Fossil fuel share,% fossil fuels,World,2050,2_degree_min,0.0117
Macro,Fossil fuel share,% fossil fuels,World,2050,2_degree_10th,0.391
Macro,Fossil fuel share,% fossil fuels,World,2050,2_degree_avg,0.548
Macro,Fossil fuel share,% fossil fuels,World,2050,2_degree_med,0.553
Macro,Fossil fuel share,% fossil fuels,World,2050,2_degree_90th,0.655
Macro,Fossil fuel share,% fossil fuels,World,2050,2_degree_max,0.943
Macro,Coal share,% coal,World,2050,2_degree_min,0.0004
Macro,Coal share,% coal,World,2050,2_degree_10th,0.006
Macro,Coal share,% coal,World,2050,2_degree_avg,0.147
Macro,Coal share,% coal,World,2050,2_degree_med,0.144
Macro,Coal share,% coal,World,2050,2_degree_90th,0.207
Macro,Coal share,% coal,World,2050,2_degree_max,0.564
Transport: Road,Road transport emissions intensity,kg CO2 / vkm,World,2050,2_degree_min,0.153
Transport: Road,Road transport emissions intensity,kg CO2 / vkm,World,2050,2_degree_10th,0.123
Transport: Road,Road transport emissions intensity,kg CO2 / vkm,World,2050,2_degree_avg,0.105
Transport: Road,Road transport emissions intensity,kg CO2 / vkm,World,2050,2_degree_med,0.105
Transport: Road,Road transport emissions intensity,kg CO2 / vkm,World,2050,2_degree_90th,0.0848
Transport: Road,Road transport emissions intensity,kg CO2 / vkm,World,2050,2_degree_max,0.0432
Transport: Road,Road transport biofuel/electrification,% biofuels/elec.,World,2050,2_degree_min,0.03
Transport: Road,Road transport biofuel/electrification,% biofuels/elec.,World,2050,2_degree_10th,0.27
Transport: Road,Road transport biofuel/electrification,% biofuels/elec.,World,2050,2_degree_avg,0.35
Transport: Road,Road transport biofuel/electrification,% biofuels/elec.,World,2050,2_degree_med,0.35
Transport: Road,Road transport biofuel/electrification,% biofuels/elec.,World,2050,2_degree_90th,0.42
Transport: Road,Road transport biofuel/electrification,% biofuels/elec.,World,2050,2_degree_max,0.95
Electricity,Electricity emissions intensity,gCO2 / kWh,World,2016,best_practice,55.2
Electricity,Electricity emissions intensity,gCO2 / kWh,World,2015,best_practice,157
Electricity,Electricity emissions intensity,gCO2 / kWh,World,2016,best_practice,8
Electricity,Electricity renewable intensity,% renewables,World,2015,best_practice,0.74
Electricity,Electricity renewable intensity,% renewables,World,2016,best_practice,0.978
Electricity,Electricity renewable intensity,% renewables,World,2016,best_practice,0.292
Industry: Cement,Cement emissions intensity,kg CO2 / t product,World,2010,best_practice,512
Industry: Steel,Steel emissions intensity,kg CO2 / t product,World,2010,best_practice,1300
Industry: Steel,Steel emissions intensity,kg CO2 / t product,World,2010,best_practice,700
Industry: Steel,Steel emissions intensity,kg CO2 / t product,World,2010,best_practice,250
Transport: Road,Modal split,% private cars and motorcycles,World,2015,best_practice,0.46
Transport: Road,Road transport emissions intensity,kg CO2 / vkm,World,2015,best_practice,0.177
Transport: Road,Road transport biofuel/electrification,% biofuels/elec.,World,2015,best_practice,0.233
Transport: Road,EVs per capita,EVs / 1000 cap,World,2015,best_practice,16.2
Waste,Waste emissions intensity,tCH4 from landfill / t waste,World,2015,best_practice,0
Electricity,Electricity renewable intensity,% renewables,FR,2020,projected_pledge_min,0.27
Forestry,Forestry activity,ha of forest (indexed to 1990),CN,2020,projected_pledge_min,1.48
Macro,Emissions per capita,tCO2e / cap,AU,2020,projected_pledge_min,15.8
Macro,Emissions per capita,tCO2e / cap,CA,2020,projected_pledge_min,18.7
Macro,Emissions per capita,tCO2e / cap,CN,2020,projected_pledge_min,9.87
Macro,Emissions per capita,tCO2e / cap,IN,2020,projected_pledge_min,2.78
Macro,Emissions per capita,tCO2e / cap,JP,2020,projected_pledge_min,11
Macro,Emissions per capita,tCO2e / cap,KZ,2020,projected_pledge_min,14.9
Macro,Emissions per capita,tCO2e / cap,MX,2020,projected_pledge_min,4.84
Macro,Emissions per capita,tCO2e / cap,NO,2020,projected_pledge_min,6.49
Macro,Emissions per capita,tCO2e / cap,RU,2020,projected_pledge_min,22.2
Macro,Emissions per capita,tCO2e / cap,SA,2020,projected_pledge_min,19.1
Macro,Emissions per capita,tCO2e / cap,ZA,2020,projected_pledge_min,10.5
Macro,Emissions per capita,tCO2e / cap,KR,2020,projected_pledge_min,12
Macro,Emissions per capita,tCO2e / cap,CH,2020,projected_pledge_min,4.74
Macro,Emissions per capita,tCO2e / cap,TR,2020,projected_pledge_min,7.37
Macro,Emissions per capita,tCO2e / cap,US,2020,projected_pledge_min,18.7
Macro,GDP per capita,thousand USD2012 (PPP) / cap,CA,2020,projected_pledge_min,45.2
Macro,GDP per capita,thousand USD2012 (PPP) / cap,CN,2020,projected_pledge_min,17.6
Macro,GDP per capita,thousand USD2012 (PPP) / cap,IN,2020,projected_pledge_min,7.86
Macro,GDP per capita,thousand USD2012 (PPP) / cap,JP,2020,projected_pledge_min,45
Macro,GDP per capita,thousand USD2012 (PPP) / cap,MX,2020,projected_pledge_min,18.1
Macro,GDP per capita,thousand USD2012 (PPP) / cap,RU,2020,projected_pledge_min,26.7
Macro,GDP per capita,thousand USD2012 (PPP) / cap,SA,2020,projected_pledge_min,66.5
Macro,GDP per capita,thousand USD2012 (PPP) / cap,ZA,2020,projected_pledge_min,13.6
Macro,GDP per capita,thousand USD2012 (PPP) / cap,KR,2020,projected_pledge_min,40.1
Macro,GDP per capita,thousand USD2012 (PPP) / cap,US,2020,projected_pledge_min,59.2
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),AU,2020,projected_pledge_min,0.33
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),CA,2020,projected_pledge_min,0.413
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),CN,2020,projected_pledge_min,0.475
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),IN,2020,projected_pledge_min,0.334
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),JP,2020,projected_pledge_min,0.244
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),MX,2020,projected_pledge_min,0.267
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),RU,2020,projected_pledge_min,0.706
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),SA,2020,projected_pledge_min,0.288
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),ZA,2020,projected_pledge_min,0.537
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),KR,2020,projected_pledge_min,0.3
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),TR,2020,projected_pledge_min,0.332
Macro,Emissions intensity of GDP,tCO2e / thsd. USD2012 (PPP),US,2020,projected_pledge_min,0.301
Transport: Road,Road transport emissions intensity,kg CO2 / vkm,IT,2020,projected_pledge_min,0.095
Macro,Emissions intensity of GDP,tCO2e (excl. agriculture and LULUCF)/thousand USD2012,IN,2020,projected_pledge_min,0
Macro,Emissions per capita,tCO2e / cap,AU,2025,projected_pledge_min,15.1
